DATE,COMPOUT
2004-10-27,1366.675582825
2004-11-03,1363.988423353
2004-11-10,1360.939602353
2004-11-17,1369.154471962
2004-11-24,1370.648116784
2004-12-01,1372.121817665
2004-12-08,1376.397999268
2004-12-15,1384.145313906
2004-12-22,1392.806549282
2004-12-29,1401.502218898
2005-01-05,1423.53356792
2005-01-12,1433.327638984
2005-01-19,1438.841388865
2005-01-26,1439.857840566
2005-02-02,1442.73161133
2005-02-09,1443.190089054
2005-02-16,1442.909293907
2005-02-23,1443.39034354
2005-03-02,1442.185696781
2005-03-09,1435.86450566
2005-03-16,1447.525251788
2005-03-23,1453.678968369
2005-03-30,1435.805533056
2005-04-06,1446.365699503
2005-04-13,1454.02069601
2005-04-20,1460.665721216
2005-04-27,1453.780454463
2005-05-04,1456.68288963
2005-05-11,1469.076370714
2005-05-18,1479.203205896
2005-05-25,1483.770239464
2005-06-01,1487.479380707
2005-06-08,1492.512587081
2005-06-15,1501.164910131
2005-06-22,1525.970555554
2005-06-29,1520.374956179
2005-07-06,1504.842308571
2005-07-13,1513.718741651
2005-07-20,1510.611524027
2005-07-27,1519.850458065
2005-08-03,1541.128440704
2005-08-10,1550.177444188
2005-08-17,1560.126513375
2005-08-24,1568.50763682
2005-08-31,1579.210942556
2005-09-07,1590.427556925
2005-09-14,1600.774026342
2005-09-21,1609.769130283
2005-09-28,1618.615482529
2005-10-05,1624.170056819
2005-10-12,1624.984396489
2005-10-19,1627.124780092
2005-10-26,1626.517259673
2005-11-02,1633.113291196
2005-11-09,1650.308135886
2005-11-16,1649.227096149
2005-11-23,1641.326910915
2005-11-30,1646.338942575
2005-12-07,1642.998599994
2005-12-14,1631.043782482
2005-12-21,1633.912468608
2005-12-28,1637.475715732
2006-01-04,1648.849232476
2006-01-11,1691.53171145
2006-01-18,1684.205516103
2006-01-25,1694.308279018
2006-02-01,1703.255268908
2006-02-08,1696.384287378
2006-02-15,1681.136806056
2006-02-22,1690.548078586
2006-03-01,1700.579779936
2006-03-08,1696.625813335
2006-03-15,1712.736037906
2006-03-22,1709.790272665
2006-03-29,1712.656831562
2006-04-05,1682.626979098
2006-04-12,1683.847571331
2006-04-19,1694.674396217
2006-04-26,1728.229583798
2006-05-03,1764.9530653
2006-05-10,1762.418987358
2006-05-17,1766.110221259
2006-05-24,1763.89271487
2006-05-31,1785.801445804
2006-06-07,1795.972629932
2006-06-14,1774.091389884
2006-06-21,1772.543713402
2006-06-28,1782.768449133
2006-07-05,1781.529912656
2006-07-12,1785.731278496
2006-07-19,1783.123648615
2006-07-26,1792.130099721
2006-08-02,1789.062407106
2006-08-09,1793.985044658
2006-08-16,1808.944868742
2006-08-23,1836.465766488
2006-08-30,1843.081847272
2006-09-06,1858.431718752
2006-09-13,1857.908928159
2006-09-20,1878.889755932
2006-09-27,1896.577183651
2006-10-04,1903.870693787
2006-10-11,1910.86460231
2006-10-18,1890.401906185
2006-10-25,1901.398859184
2006-11-01,1900.770673407
2006-11-08,1901.787723102
2006-11-15,1926.943923922
2006-11-22,1920.611936598
2006-11-29,1927.810851757
2006-12-06,1930.290003454
2006-12-13,1963.271488165
2006-12-20,1951.023390614
2006-12-27,1974.710499352
2007-01-03,1988.765720703
2007-01-10,1989.990283981
2007-01-17,1995.143947024
2007-01-24,1993.777339123
2007-01-31,1990.410931976
2007-02-07,2010.098502981
2007-02-14,2039.053086277
2007-02-21,2015.73371338
2007-02-28,2011.478578416
2007-03-07,1991.630357437
2007-03-14,1993.832656564
2007-03-21,1996.352843493
